"product_name","unit_price","total_price","size_amount","unit_name","store_id","image_url","merchant_productid","brand_name"
"Burnbrae Farms Eggs Hard Boiled 12 Count",NULL,"$6.29",12.0,"each",16,"https://voila.ca/images-v3/2d92d19c-0354-49c0-8a91-5260ed0bf531/ff7d281f-dc70-4dde-852b-330f5b1dfd44/300x300.jpg","70f4e48a-2663-4d0d-ae0d-a0816ac283fd","Burnbrae Farms"
"CRAVE Breakfast Bowl Scramble Kit Ultimate 85 g",NULL,"$3.99",85.0,"g",16,"https://voila.ca/images-v3/2d92d19c-0354-49c0-8a91-5260ed0bf531/f3b47a4a-9caa-4d8d-83e0-5f6641e5c3e4/300x300.jpg","f3c4eabb-ed7e-48f5-90c7-6d0efb786784","JUST CRACK AN EGG"
"Burnbrae Farms Naturegg Omega 3 Eggs Large 12 Count",NULL,"$5.99",12.0,"each",16,"https://voila.ca/images-v3/2d92d19c-0354-49c0-8a91-5260ed0bf531/c93e5d2e-8416-4575-a1d6-14e1963d96f1/300x300.jpg","fa93216b-120e-4e1d-a74a-973f0bc16925","Burnbrae Farms"
"Natrel 2% Milk Partly Skimmed 2 L",NULL,"$5.69",2.0,"L",16,"https://voila.ca/images-v3/2d92d19c-0354-49c0-8a91-5260ed0bf531/715a3edc-fd7c-46c8-a2eb-26d7cb68ee5a/300x300.jpg","f19e4af7-388e-4170-97d2-209f511a0e57","Natrel"
"CRAVE Breakfast Bowl Scramble Kit Veggie 64 g",NULL,"$3.99",64.0,"g",16,"https://voila.ca/images-v3/2d92d19c-0354-49c0-8a91-5260ed0bf531/2f87728f-46b3-4198-b289-b546548f21c5/300x300.jpg","bb258858-1e65-45ce-a0c2-2d9263cdaff3","JUST CRACK AN EGG"
"CRAVE Breakfast Bowl Scramble Kit Western 85 g",NULL,"$3.99",85.0,"g",16,"https://voila.ca/images-v3/2d92d19c-0354-49c0-8a91-5260ed0bf531/78ecfb56-73b3-4470-b0db-06630adaafa8/300x300.jpg","c2d1d5bf-210d-4ac0-bd32-cdb7e612fc46","Crave"
"CRAVE Breakfast Bowl Scramble Kit Protein Packed 57 g",NULL,"$3.99",57.0,"g",16,"https://voila.ca/images-v3/2d92d19c-0354-49c0-8a91-5260ed0bf531/fc26784e-797c-4501-b7a7-31227c41824d/300x300.jpg","07c8e6a0-ceb0-4416-b705-d142f74adf61","Crave"
"Country Golden Brown Eggs Free Range Medium 12 Count",NULL,"$6.79",12.0,"each",16,"https://voila.ca/images-v3/2d92d19c-0354-49c0-8a91-5260ed0bf531/7dfac4ae-95d0-49a6-a963-a06eb6ce13e8/300x300.jpg","8c9cd256-b202-4c52-9379-54e6abc35824","Country Golden"
"Eggs2go Eggs Hard Boiled Peeled Dill 2 x 42 g ",NULL,"$2.29",2.0,"each",16,"https://voila.ca/images-v3/2d92d19c-0354-49c0-8a91-5260ed0bf531/8a444d97-203a-40f7-974b-dd4c3e1a2ad0/300x300.jpg","984a5c9c-2bf8-4d45-8e7c-33c07a164359","EGGS2go"
"Sunshine Valley Organic Eggs Free Range Large 12 Count",NULL,"$8.79",12.0,"each",16,"https://voila.ca/images-v3/2d92d19c-0354-49c0-8a91-5260ed0bf531/5f06c259-1e8d-4d9f-b7b1-ecff52ede2f5/300x300.jpg","718cf15f-8727-4296-a495-f63819a40bc4","Sunshine Valley"
